Ticker,Razão Social,CNPJ,Nome Pregão,Segmento,Cotas emitidas,Descrição,Link de Acesso,Público alvo,Segmento ANBIMA,Número de cotistas,Tipo de gestão,Prazo de duração,Tipo ANBIMA,Administrador,CNPJ Administrador,Telefone Administrador,Email Administrador,Site Administrador,Data de constituição do fundo,Valor inicial da cota (IPO),Registro na CVM
AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS,35.765.826/0001-26,FII AUTONOMY,Lajes Corporativas,4.824.987,"AIEC11: AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.        


AIEC11– Um FII Lajes Corporativas


AIEC11 é um fundo imobiliário do tipo tijolo. Seus investimentos são destinados majoritariamente em propriedades do segmento de lajes corporativas, chamados também como escritórios comerciais.

Fundos de tijolo como 
AIEC11
 possuem essa característica pelo motivo de obterem imóveis físicos, podendo o fundo rentabilizar por meio da aquisição ou construção para gerar ganhos com aluguéis ou também rentabilizar com a venda dos imóveis.

O 
Autonomy Edifícios Corporativos FII
 é um fundo de investimento imobiliário do tipo ANBIMA renda gestão ativa de segmento de lajes corporativas. É constituído sob a forma de condomínio fechado, regido pelo seu regulamento e pelas disposições legais e regulamentares que lhe forem aplicáveis. O prazo de duração do fundo é indeterminado.


Características do fundo AIEC11


O AIEC11 tem por objetivo a obtenção de renda, mediante locação ou arrendamento, com a exploração comercial de empreendimentos imobiliários no segmento de lajes corporativas, em especial empreendimentos imobiliários destinados a 
escritórios
 localizados no território nacional.

De forma complementar, o fundo também poderá investir ações ou cotas de SPE; ações, debêntures; cotas de fundos de investimento imobiliário que tenham como objeto principal o investimento em Imóveis, de forma direta ou indireta; cotas de fundos de investimento em participações que tenham como política de investimento.

Também, o AIEC11 poderá investir (máximo um terço) em ativos de renda fixa, tais como Letras de Crédito Imobiliário (LCI); Letras Hipotecárias (LH); Letras Imobiliária Garantida (LIG); Certificados de Recebíveis Imobiliários (CRI).

O fundo é administrado pela 
Modal DTVM
, com gestão da 
Autonomy Investimentos
.

As cotas do Autonomy Edifícios Corporativos FII são negociadas com o código (ticker) AIEC11 no mercado de bolsa da B3 - Brasil, Bolsa e Balcão.

Sua taxa de administração é de 0,75% a.a.

O AIEC11 deverá distribuir a seus cotistas, no mínimo 95% do resultado operacional disponível, apurado em regime de caixa, calculado com base em balanço semestral encerrado em 30 de junho e 31 de dezembro de cada ano, preservadas as provisões financeiras necessárias para o cumprimento das obrigações financeiras do fundo.

Sem prejuízo da distribuição semestral, os lucros auferidos poderão ser distribuídos aos Cotistas mensalmente, sempre no 6º dia útil do mês subsequente ao do recebimento dos recursos pelo fundo, a título de antecipação dos rendimentos a serem distribuídos no semestre.


Autonomy Edifícios Corporativos FII – AIEC11


As aplicações realizadas no fundo não contam com garantia do Administrador ou do Fundo Garantidor de Crédito, não podendo o administrador ser responsabilizado por eventuais depreciações dos ativos que compõem a carteira do fundo.

Portanto, é recomendado a leitura cuidadosa do prospecto e do regulamento do fundo de investimento pelo investidor ao aplicar seus recursos.

Para conferir outros dados e indicadores do 
AIEC11
, continue navegando em nosso site. Temos todas as informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/AIEC11,Investidores em Geral,Lajes Corporativas,17.908,Ativa,Indeterminado,Renda,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,36.864.992/0001-42,(11) 3509-0600,infolegal@apexgroup.com,www.mafdtvm.com.br,,,
AJFI11,AJ MALLS FDO DE INV IMOB,51.472.985/0001-99,FII AJ MALLS,Shoppings,31.625.978,,https://www.fundsexplorer.com.br/funds/AJFI11,Investidores em Geral,Títulos e Valores Mobiliários,13.696,Ativa,Indeterminado,Títulos e Valores Mobiliários,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,(11) 3027-2237,adm.fundos.estruturados@xpi.com.br,www.xpi.com.br,,,
ALMI11,Torre Almirante,07.122.725/0001-00,Torre Almirante,Lajes Corporativas,111.177,"ALMI11: Torre Almirante        


ALMI11 – Um
FII De Tijolo Mono Ativo 


ALMI11 é um fundo imobiliário do tipo tijolo. Seus
investimentos são destinados principalmente para propriedades comercias de
lajes corporativas.

Fundos de tijolo como o 
ALMI11

são assim chamados por representarem os imóveis físicos (tangíveis)
propriamente ditos. Esse modelo de FII tem o objetivo de comprar ou construir
fundos para alugar e gerar uma renda mensal.

O 
FII Torre Almirante
 é um
fundo de investimento imobiliário do tipo ANBIMA renda gestão passiva do
segmento lajes corporativas. É constituído sob a forma de condomínio fechado,
com prazo de duração indeterminado, regido pelas disposições legais e
regulamentares que lhe forem aplicáveis.


Características do fundo ALMI11


O 
Fundo Imobiliário Torre
Almirante
 foi constituído em novembro de 2004 e tem como objetivo,
exclusivamente, a aquisição de até 100% da fração ideal do empreendimento
denominado Torre Almirante, e a locação, no mercado imobiliário.

A aquisição visa proporcionar aos
cotistas a rentabilidade decorrente do recebimento de receitas de aluguel das
unidades comerciais, fachadas, depósitos e vagas de garagem do Imóvel, nos
termos de contratos de locação a serem celebrados.

Destinado a pessoas físicas e
jurídicas com objetivo de investimento de longo prazo, remunerado a partir de
locação de imóveis comerciais conforme descrito no capítulo III do seu
regulamento.

O fundo é administrado pela BTG
Pactual Serviços Financeiros DTVM S.A.

A administração compreende o
conjunto de serviços relacionados direta ou indiretamente ao funcionamento e à
manutenção do fundo.

Esses serviços podem ser
prestados pela própria administradora ou por terceiros por ela contratados.

As cotas do 
FII Torre
Almirante
 são negociadas com o código (ticker) 
ALMI11
 no mercado de
bolsa da B3 - Brasil, Bolsa e Balcão.

Sua taxa de administração é de 0,383% ao ano sobre
patrimônio líquido ou valor de mercado do fundo se o fundo fizer parte de
índice de mercado (IFIX) com mínimo de R$ 30.000,00 mensais corrigido pelo
IGPM.

A política de distribuição de 
rendimentos
do ALMI11
 deve distribuir a seus cotistas, no mínimo, 95% dos resultados
auferidos, apurados segundo o regime de caixa.

O fundo distribuirá aos cotistas, até o 10º dia útil de cada
mês calendário, a título de antecipação dos resultados a serem distribuídos, a
totalidade do resultado líquido financeiramente realizado no mês anterior.


FII Torre
Almirante – ALMI11


As aplicações realizadas no fundo
não contam com garantia do Administrador ou do Fundo Garantidor de Crédito, não
podendo o administrador ser responsabilizado por eventuais depreciações dos
ativos que compõem a carteira do fundo.

Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.

Para conferir outros dados e
indicadores do 
ALMI11
, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/ALMI11,Investidores em Geral,Lajes Corporativas,2.130,Passiva,Indeterminado,Renda,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,55 11 3383-3102,ri.fundoslistados@btgpactual.com,www.btgpactual.com,19/11/2004,,
ALMI11B,,,,Indefinido,,"ALMI11B: FII TORRE AL        

        O FUNDO DE INVESTIMENTO IMOBILIÁRIO TORRE ALMIRANTE, constituído sob a forma de condomínio fechado, é regido pelo presente Regulamento e pelas disposições legais e regulamentares que lhe forem aplicáveis.",https://www.fundsexplorer.com.br/funds/ALMI11B,,,,,,,,,,,,,,
ALZC11,ALIANZA CRÉDITO IMOBILIÁRIO FII FUNDO DE INV IMOB,43.009.201/0001-62,FII ALI CRED,Papéis,1.000.000,,https://www.fundsexplorer.com.br/funds/ALZC11,,,,,,,,,,,,,,
ALZR11,Alianza Trust Renda Imobiliária,28.737.771/0001-85,Alianza Trust Renda Imobiliária,Misto,12.226.625,"ALZR11: Alianza Trust Renda Imobiliária        


ALZR11 – Um Fundo Focado Em Contratos De Locação Atípicos


ALZR11 é um fundo imobiliário do
tipo tijolo. Seus investimentos tem como base a
aquisição de imóveis físicos.

O objeto do 
ALZR11 
é o
investimento em empreendimentos imobiliários não residenciais (exceto hospitais
e plantas industriais pesadas), que atendam os critérios de elegibilidade dos
ativos-alvo, com a finalidade de locação por meio de contratos atípicos.

O
 ALIANZA TRUST RENDA
IMOBILIÁRIA – ALZR11 
é um fundo
 
constituído sob a forma de
condomínio fechado, com prazo de duração indeterminado. Seus recursos serão
aplicados, sob a gestão da administradora, segundo uma política de
investimentos definida de forma a proporcionar ao cotista uma remuneração para
o investimento realizado.


Características do fundo ALZR11


Constituído por meio do “
Regulamento
do Alianza Trust Renda
Imobiliária – Fundo de Investimento Imobiliário
” o fundo iniciou suas negociações
em janeiro de 2018.

É administrado pelo 
BTG PACTUAL
SERVIÇOS FINANCEIROS S.A. DTVM
 e sua gestão é feita pela Alianza Gestão de Recursos Ltda.

A Alianza
é uma gestora de recursos focada exclusivamente em investimentos imobiliários
que atua em todo Brasil.

Seu objetivo principal é alocar
capital de nossos investidores em propriedades alugadas para grandes empresas
por meio de operações de Built-To-Suit (BTS) e Sale&LeaseBack (SLB).

As cotas do 
Alianza Trust
 são negociadas com o código (ticker) 
ALZR11
 no mercado de bolsa da B3 - Brasil, Bolsa e Balcão.

Sua taxa de administração é 0,20%
ao ano sobre patrimônio líquido ou valor de mercado do fundo se o fundo fizer
parte de índice de mercado (IFIX) (mínimo de R$ 25.000,00 mensais corrigido
pelo IGPM).

Possui também uma taxa de gestão
de 0,70% ao ano sobre patrimônio líquido ou valor de mercado do fundo se o
fundo fizer parte de índice de mercado (IFIX).

Escrituração 0,10% ao ano sobre
patrimônio líquido ou valor de mercado do fundo se o fundo fizer parte de
índice de mercado (IFIX).

Agora falando da política de
distribuição de 
rendimentos do ALZR11
, será distribuído no mínimo 95%
dos lucros auferidos pelo fundo, apurados segundo o regime de caixa.


Alianza Trust Renda Imobiliária - ALZR11


As aplicações realizadas no fundo
não contam com garantia do Administrador ou do Fundo Garantidor de Crédito, não
podendo o administrador ser responsabilizado por eventuais depreciações dos
ativos que compõem a carteira do fundo.

Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.

Para conferir outros dados e
indicadores do 
ALZR11
, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/ALZR11,Investidores em Geral,Híbrido,153.681,Ativa,Indeterminado,Renda,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,55 11 3383-3102,ri.fundoslistados@btgpactual.com,www.btgpactual.com,27/12/2017,,
AMAZ11,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO,39.405.730/0001-08,FIAGRO AMAZ,Indefinido,1.600.000,,https://www.fundsexplorer.com.br/funds/AMAZ11,,,,,,,,,,,,,,
ANCR11B,Ancar CI,07.789.135/0001-27,Ancar CI,Shoppings,26.735.046,"ANCR11B: Ancar CI        


ANCR11B –
Um Fundo Especialista Em Shoppings


ANCR11B é um fundo imobiliário do
tipo tijolo. Seus investimentos tem como base principal, aplicações em ativos
imobiliários físicos.

Fundos de tijolo como o 
ANCR11B

são assim chamados por representarem os imóveis físicos (tangíveis)
propriamente ditos. Esse modelo de FII tem o objetivo de comprar ou construir
fundos para alugar e gerar uma renda mensal.

O 
FII ANCAR IC 
é um fundo
de investimento imobiliário do tipo ANBIMA desenvolvimento para renda gestão
ativa do segmento de shoppings. É constituído sob a forma de condomínio
fechado, com prazo de duração indeterminado, regido pelas disposições legais e
regulamentares que lhe forem aplicáveis.


Características do fundo ANCR11B


o 
Fundo Imobiliário Ancar IC

foi constituído em janeiro de 2006. Seu objetivo é a aquisição de imóveis
comerciais do tipo “Shopping Center” (“Imóveis Alvo”) ou de direitos a eles
relativos.

O fundo terá por política de
investimento básica, realizar investimentos de longo prazo, objetivando,
fundamentalmente, auferir receitas por meio de venda, locação ou arrendamento
dos imóveis integrantes do seu patrimônio.

O fundo é administrado pela Geração
Futuro Corretora de Valores S.A.

As cotas do 
Ancar IC
 são
negociadas com o código (ticker) 
ANCR11B
 no mercado de bolsa da B3 -
Brasil, Bolsa e Balcão.

Sua taxa de administração é de
0,125% ao ano sobre patrimônio do fundo (mínimo R$ 15.000,00 mensais corrigido
pelo IGPM).

A escrituração também possui uma
taxa pelos serviços de escrituração das cotas do fundo em um valor aproximado
de R$ 1.500,00 por mês.

A taxa de escrituração e qualquer
despesa relacionada devem estar inclusas na remuneração do Administrador, mas
serão pagas diretamente ao Escriturador contratado pelo fundo.

A política de distribuição de 
rendimentos
do ANCR11B
 deve distribuir a seus cotistas, no mínimo, 95% dos resultados
auferidos, apurados segundo o regime de caixa.

O resultado auferido num
determinado período será distribuído aos cotistas, semestralmente, até o 25º
dia dos meses de fevereiro e agosto.

O fundo manterá sistema de
registro contábil, permanentemente atualizado, de forma a demonstrar aos
cotistas as parcelas distribuídas a título de pagamento de rendimento.


FII ANCAR IC – ANCR11B


As aplicações realizadas no fundo
não contam com garantia do Administrador ou do Fundo Garantidor de Crédito, não
podendo o administrador ser responsabilizado por eventuais depreciações dos
ativos que compõem a carteira do fundo.

Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.

Para conferir outros dados e
indicadores do 
ANCR11B
, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/ANCR11B,Investidores em Geral,Shoppings,102,Ativa,Indeterminado,Desenvolvimento para Renda,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27.652.684/0001-62,(11) 3524-8888(11) 2137-88880800 605 8888,Structured-Funds@genial.com.vc,https://www.genialinvestimentos.com.br/,21/12/2005,,
APTO11,NAVI RESIDENCIAL,42.432.327/0001-82,FII NAVI RSD,Imóveis Residenciais,4.612.227,,https://www.fundsexplorer.com.br/funds/APTO11,Investidores em Geral,Híbrido,9.449,Ativa,Indeterminado,Híbrido,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13.486.793/0001-42,(11) 3509-0600,infolegal@apexgroup.com,www.brltrust.com.br,,,
APXM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07,FII APEX MS,Shoppings,1.760.000,,https://www.fundsexplorer.com.br/funds/APXM11,Investidor Profissional,Híbrido,374,,Indeterminado,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,55 11 3383-3102,ri.fundoslistados@btgpactual.com,www.btgpactual.com,,,
