Ticker,Descrição,Valor
BCFF11,Montante final na POUPANÇA,"R$ 53.000,00"
BCFF11,Montante final no FUNDO,"R$ 51.442,19"
BCFF11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.142,02"
BCFF11,Valorização patrimonial no fundo,"R$ 46.300,16"
BCFF11,BCFF11 X POUPANÇA,"-2,94%"
BCFF11B,Aplicação em 12 meses,"R$ 50.000,00"
BCFF11B,Montante final na POUPANÇA,N/A
BCFF11B,Montante final no FUNDO,N/A
BCFF11B,Rendimento (ISENTO DE IR) no FUNDO,N/A
BCFF11B,Valorização patrimonial no fundo,N/A
BCFF11B,BCFF11B X POUPANÇA,N/A
BCIA11,Aplicação em 12 meses,"R$ 50.000,00"
BCIA11,Montante final na POUPANÇA,"R$ 53.000,00"
BCIA11,Montante final no FUNDO,"R$ 56.551,46"
BCIA11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.933,70"
BCIA11,Valorização patrimonial no fundo,"R$ 51.617,76"
BCIA11,BCIA11 X POUPANÇA,"6,70%"
BCRI11,Aplicação em 12 meses,"R$ 50.000,00"
BCRI11,Montante final na POUPANÇA,"R$ 53.000,00"
BCRI11,Montante final no FUNDO,"R$ 56.339,12"
BCRI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 7.617,52"
BCRI11,Valorização patrimonial no fundo,"R$ 48.721,60"
BCRI11,BCRI11 X POUPANÇA,"6,30%"
BDIF11,Aplicação em 12 meses,"R$ 50.000,00"
BDIF11,Montante final na POUPANÇA,"R$ 53.000,00"
BDIF11,Montante final no FUNDO,"R$ 53.986,82"
BDIF11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 7.210,20"
BDIF11,Valorização patrimonial no fundo,"R$ 46.776,62"
BDIF11,BDIF11 X POUPANÇA,"1,86%"
BDIV11,Aplicação em 12 meses,"R$ 50.000,00"
BDIV11,Montante final na POUPANÇA,"R$ 53.000,00"
BDIV11,Montante final no FUNDO,N/A
BDIV11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BDIV11,Valorização patrimonial no fundo,"R$ 54.348,24"
BDIV11,BDIV11 X POUPANÇA,N/A
BETW11,Aplicação em 12 meses,"R$ 50.000,00"
BETW11,Montante final na POUPANÇA,N/A
BETW11,Montante final no FUNDO,N/A
BETW11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BETW11,Valorização patrimonial no fundo,N/A
BETW11,BETW11 X POUPANÇA,N/A
BICE11,Aplicação em 12 meses,"R$ 50.000,00"
BICE11,Montante final na POUPANÇA,"R$ 53.000,00"
BICE11,Montante final no FUNDO,"R$ 52.973,89"
BICE11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.204,52"
BICE11,Valorização patrimonial no fundo,"R$ 47.769,37"
BICE11,BICE11 X POUPANÇA,"-0,05%"
BICR11,Aplicação em 12 meses,"R$ 50.000,00"
BICR11,Montante final na POUPANÇA,"R$ 53.000,00"
BICR11,Montante final no FUNDO,"R$ 27.645,77"
BICR11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.602,20"
BICR11,Valorização patrimonial no fundo,"R$ 24.043,57"
BICR11,BICR11 X POUPANÇA,"-47,84%"
BIDB11,Aplicação em 12 meses,"R$ 50.000,00"
BIDB11,Montante final na POUPANÇA,"R$ 53.000,00"
BIDB11,Montante final no FUNDO,"R$ 58.994,45"
BIDB11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.384,87"
BIDB11,Valorização patrimonial no fundo,"R$ 52.609,58"
BIDB11,BIDB11 X POUPANÇA,"11,31%"
BIME11,Aplicação em 12 meses,"R$ 50.000,00"
BIME11,Montante final na POUPANÇA,"R$ 53.000,00"
BIME11,Montante final no FUNDO,"R$ 55.519,30"
BIME11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.664,29"
BIME11,Valorização patrimonial no fundo,"R$ 48.855,01"
BIME11,BIME11 X POUPANÇA,"4,75%"
BIPD11,Aplicação em 12 meses,"R$ 50.000,00"
BIPD11,Montante final na POUPANÇA,"R$ 53.000,00"
BIPD11,Montante final no FUNDO,"R$ 49.750,41"
BIPD11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.945,78"
BIPD11,Valorização patrimonial no fundo,"R$ 45.804,63"
BIPD11,BIPD11 X POUPANÇA,"-6,13%"
BIPE11,Aplicação em 12 meses,"R$ 50.000,00"
BIPE11,Montante final na POUPANÇA,N/A
BIPE11,Montante final no FUNDO,N/A
BIPE11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BIPE11,Valorização patrimonial no fundo,N/A
BIPE11,BIPE11 X POUPANÇA,N/A
BLCA11,Aplicação em 12 meses,"R$ 50.000,00"
BLCA11,Montante final na POUPANÇA,"R$ 53.000,00"
BLCA11,Montante final no FUNDO,"R$ 48.437,37"
BLCA11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 9.212,00"
BLCA11,Valorização patrimonial no fundo,"R$ 39.225,37"
BLCA11,BLCA11 X POUPANÇA,"-8,61%"
BLCP11,Aplicação em 12 meses,"R$ 50.000,00"
BLCP11,Montante final na POUPANÇA,"R$ 53.000,00"
BLCP11,Montante final no FUNDO,"R$ 50.284,34"
BLCP11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 309,32"
BLCP11,Valorização patrimonial no fundo,"R$ 49.975,02"
BLCP11,BLCP11 X POUPANÇA,"-5,12%"
BLMC11,Aplicação em 12 meses,"R$ 50.000,00"
BLMC11,Montante final na POUPANÇA,"R$ 53.000,00"
BLMC11,Montante final no FUNDO,"R$ 55.443,63"
BLMC11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 2.599,07"
BLMC11,Valorização patrimonial no fundo,"R$ 52.844,56"
BLMC11,BLMC11 X POUPANÇA,"4,61%"
BLMG11,Aplicação em 12 meses,"R$ 50.000,00"
BLMG11,Montante final na POUPANÇA,"R$ 53.000,00"
BLMG11,Montante final no FUNDO,"R$ 37.630,02"
BLMG11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.968,50"
BLMG11,Valorização patrimonial no fundo,"R$ 30.661,52"
BLMG11,BLMG11 X POUPANÇA,"-29,00%"
BLMO11,Aplicação em 12 meses,"R$ 50.000,00"
BLMO11,Montante final na POUPANÇA,"R$ 53.000,00"
BLMO11,Montante final no FUNDO,"R$ 325.852,56"
BLMO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 271.482,73"
BLMO11,Valorização patrimonial no fundo,"R$ 54.369,83"
BLMO11,BLMO11 X POUPANÇA,"514,82%"
BLMR11,Aplicação em 12 meses,"R$ 50.000,00"
BLMR11,Montante final na POUPANÇA,"R$ 53.000,00"
BLMR11,Montante final no FUNDO,"R$ 47.284,42"
BLMR11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 1.224,08"
BLMR11,Valorização patrimonial no fundo,"R$ 46.060,34"
BLMR11,BLMR11 X POUPANÇA,"-10,78%"
BLOG11,Aplicação em 12 meses,"R$ 50.000,00"
BLOG11,Montante final na POUPANÇA,N/A
BLOG11,Montante final no FUNDO,N/A
BLOG11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BLOG11,Valorização patrimonial no fundo,N/A
BLOG11,BLOG11 X POUPANÇA,N/A
BLUR11,Aplicação em 12 meses,"R$ 50.000,00"
BLUR11,Montante final na POUPANÇA,"R$ 53.000,00"
BLUR11,Montante final no FUNDO,"R$ 54.245,23"
BLUR11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.752,80"
BLUR11,Valorização patrimonial no fundo,"R$ 48.492,43"
BLUR11,BLUR11 X POUPANÇA,"2,35%"
BMII11,Aplicação em 12 meses,"R$ 50.000,00"
BMII11,Montante final na POUPANÇA,N/A
BMII11,Montante final no FUNDO,N/A
BMII11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BMII11,Valorização patrimonial no fundo,N/A
BMII11,BMII11 X POUPANÇA,N/A
BMLC11,Aplicação em 12 meses,"R$ 50.000,00"
BMLC11,Montante final na POUPANÇA,"R$ 53.000,00"
BMLC11,Montante final no FUNDO,"R$ 53.119,75"
BMLC11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.533,90"
BMLC11,Valorização patrimonial no fundo,"R$ 48.585,85"
BMLC11,BMLC11 X POUPANÇA,"0,23%"
BMLC11B,Aplicação em 12 meses,"R$ 50.000,00"
BMLC11B,Montante final na POUPANÇA,N/A
BMLC11B,Montante final no FUNDO,N/A
BMLC11B,Rendimento (ISENTO DE IR) no FUNDO,N/A
BMLC11B,Valorização patrimonial no fundo,N/A
BMLC11B,BMLC11B X POUPANÇA,N/A
BNFS11,Aplicação em 12 meses,"R$ 50.000,00"
BNFS11,Montante final na POUPANÇA,"R$ 53.000,00"
BNFS11,Montante final no FUNDO,"R$ 57.709,46"
BNFS11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.874,97"
BNFS11,Valorização patrimonial no fundo,"R$ 50.834,50"
BNFS11,BNFS11 X POUPANÇA,"8,89%"
BODB11,Aplicação em 12 meses,"R$ 50.000,00"
BODB11,Montante final na POUPANÇA,"R$ 53.000,00"
BODB11,Montante final no FUNDO,"R$ 53.536,54"
BODB11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.001,29"
BODB11,Valorização patrimonial no fundo,"R$ 48.535,25"
BODB11,BODB11 X POUPANÇA,"1,01%"
BPFF11,Aplicação em 12 meses,"R$ 50.000,00"
BPFF11,Montante final na POUPANÇA,"R$ 53.000,00"
BPFF11,Montante final no FUNDO,"R$ 53.324,06"
BPFF11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.408,88"
BPFF11,Valorização patrimonial no fundo,"R$ 47.915,18"
BPFF11,BPFF11 X POUPANÇA,"0,61%"
BPLC11,Aplicação em 12 meses,"R$ 50.000,00"
BPLC11,Montante final na POUPANÇA,N/A
BPLC11,Montante final no FUNDO,N/A
BPLC11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BPLC11,Valorização patrimonial no fundo,N/A
BPLC11,BPLC11 X POUPANÇA,N/A
BPML11,Aplicação em 12 meses,"R$ 50.000,00"
BPML11,Montante final na POUPANÇA,"R$ 53.000,00"
BPML11,Montante final no FUNDO,"R$ 72.106,30"
BPML11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.673,46"
BPML11,Valorização patrimonial no fundo,"R$ 67.432,84"
BPML11,BPML11 X POUPANÇA,"36,05%"
BPRP11,Aplicação em 12 meses,"R$ 50.000,00"
BPRP11,Montante final na POUPANÇA,"R$ 53.000,00"
BPRP11,Montante final no FUNDO,"R$ 61.697,56"
BPRP11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.125,33"
BPRP11,Valorização patrimonial no fundo,"R$ 56.572,23"
BPRP11,BPRP11 X POUPANÇA,"16,41%"
BRCO11,Aplicação em 12 meses,"R$ 50.000,00"
BRCO11,Montante final na POUPANÇA,"R$ 53.000,00"
BRCO11,Montante final no FUNDO,"R$ 52.679,08"
BRCO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.556,09"
BRCO11,Valorização patrimonial no fundo,"R$ 48.122,99"
BRCO11,BRCO11 X POUPANÇA,"-0,61%"
BRCR11,Aplicação em 12 meses,"R$ 50.000,00"
BRCR11,Montante final na POUPANÇA,"R$ 53.000,00"
BRCR11,Montante final no FUNDO,"R$ 46.027,87"
